Symbol,Industry,ISIN Code
360ONE,Financial Services,INE466L01038
3MINDIA,Diversified,INE470A01017
ABB,Capital Goods,INE117A01022
ACC,Construction Materials,INE012A01025
ACMESOLAR,Power,INE622W01025
AIAENG,Capital Goods,INE212H01026
APLAPOLLO,Capital Goods,INE702C01027
AUBANK,Financial Services,INE949L01017
AWL,Fast Moving Consumer Goods,INE699H01024
AADHARHFC,Financial Services,INE883F01010
AARTIIND,Chemicals,INE769A01020
AAVAS,Financial Services,INE216P01012
ABBOTINDIA,Healthcare,INE358A01014
ACE,Capital Goods,INE731H01025
ADANIENSOL,Power,INE931S01010
ADANIENT,Metals & Mining,INE423A01024
ADANIGREEN,Power,INE364U01010
ADANIPORTS,Services,INE742F01042
ADANIPOWER,Power,INE814H01029
ATGL,Oil Gas & Consumable Fuels,INE399L01023
ABCAPITAL,Financial Services,INE674K01013
ABFRL,Consumer Services,INE647O01011
ABLBL,Consumer Services,INE14LE01019
ABREL,Forest Materials,INE055A01016
ABSLAMC,Financial Services,INE404A01024
AEGISLOG,Oil Gas & Consumable Fuels,INE208C01025
AEGISVOPAK,Oil Gas & Consumable Fuels,INE0INX01018
AFCONS,Construction,INE101I01011
AFFLE,Information Technology,INE00WC01027
AJANTPHARM,Healthcare,INE031B01049
AKUMS,Healthcare,INE09XN01023
AKZOINDIA,Consumer Durables,INE133A01011
APLLTD,Healthcare,INE901L01018
ALKEM,Healthcare,INE540L01014
ALKYLAMINE,Chemicals,INE150B01039
ALOKINDS,Textiles,INE270A01029
ARE&M,Automobile and Auto Components,INE885A01032
AMBER,Consumer Durables,INE371P01015
AMBUJACEM,Construction Materials,INE079A01024
ANANDRATHI,Financial Services,INE463V01026
ANANTRAJ,Realty,INE242C01024
ANGELONE,Financial Services,INE732I01013
APARINDS,Capital Goods,INE372A01015
APOLLOHOSP,Healthcare,INE437A01024
APOLLOTYRE,Automobile and Auto Components,INE438A01022
APTUS,Financial Services,INE852O01025
ASAHIINDIA,Automobile and Auto Components,INE439A01020
ASHOKLEY,Capital Goods,INE208A01029
ASIANPAINT,Consumer Durables,INE021A01026
ASTERDM,Healthcare,INE914M01019
ASTRAZEN,Healthcare,INE203A01020
ASTRAL,Capital Goods,INE006I01046
ATHERENERG,Automobile and Auto Components,INE0LEZ01016
ATUL,Chemicals,INE100A01010
AUROPHARMA,Healthcare,INE406A01037
AIIL,Financial Services,INE206F01022
DMART,Consumer Services,INE192R01011
AXISBANK,Financial Services,INE238A01034
BASF,Chemicals,INE373A01013
BEML,Capital Goods,INE258A01024
BLS,Consumer Services,INE153T01027
BSE,Financial Services,INE118H01025
BAJAJ-AUTO,Automobile and Auto Components,INE917I01010
BAJFINANCE,Financial Services,INE296A01032
BAJAJFINSV,Financial Services,INE918I01026
BAJAJHLDNG,Financial Services,INE118A01012
BAJAJHFL,Financial Services,INE377Y01014
BALKRISIND,Automobile and Auto Components,INE787D01026
BALRAMCHIN,Fast Moving Consumer Goods,INE119A01028
BANDHANBNK,Financial Services,INE545U01014
BANKBARODA,Financial Services,INE028A01039
BANKINDIA,Financial Services,INE084A01016
MAHABANK,Financial Services,INE457A01014
BATAINDIA,Consumer Durables,INE176A01028
BAYERCROP,Chemicals,INE462A01022
BERGEPAINT,Consumer Durables,INE463A01038
BDL,Capital Goods,INE171Z01026
BEL,Capital Goods,INE263A01024
BHARATFORG,Automobile and Auto Components,INE465A01025
BHEL,Capital Goods,INE257A01026
BPCL,Oil Gas & Consumable Fuels,INE029A01011
BHARTIARTL,Telecommunication,INE397D01024
BHARTIHEXA,Telecommunication,INE343G01021
BIKAJI,Fast Moving Consumer Goods,INE00E101023
BIOCON,Healthcare,INE376G01013
BSOFT,Information Technology,INE836A01035
BLUEDART,Services,INE233B01017
BLUEJET,Healthcare,INE0KBH01020
BLUESTARCO,Consumer Durables,INE472A01039
BBTC,Fast Moving Consumer Goods,INE050A01025
BOSCHLTD,Automobile and Auto Components,INE323A01026
FIRSTCRY,Consumer Services,INE02RE01045
BRIGADE,Realty,INE791I01019
BRITANNIA,Fast Moving Consumer Goods,INE216A01030
MAPMYINDIA,Information Technology,INE0BV301023
CCL,Fast Moving Consumer Goods,INE421D01022
CESC,Power,INE486A01021
CGPOWER,Capital Goods,INE067A01029
CRISIL,Financial Services,INE007A01025
CAMPUS,Consumer Durables,INE278Y01022
CANFINHOME,Financial Services,INE477A01020
CANBK,Financial Services,INE476A01022
CAPLIPOINT,Healthcare,INE475E01026
CGCL,Financial Services,INE180C01042
CARBORUNIV,Capital Goods,INE120A01034
CASTROLIND,Oil Gas & Consumable Fuels,INE172A01027
CEATLTD,Automobile and Auto Components,INE482A01020
CENTRALBK,Financial Services,INE483A01010
CDSL,Financial Services,INE736A01011
CENTURYPLY,Consumer Durables,INE348B01021
CERA,Consumer Durables,INE739E01017
CHALET,Consumer Services,INE427F01016
CHAMBLFERT,Chemicals,INE085A01013
CHENNPETRO,Oil Gas & Consumable Fuels,INE178A01016
CHOICEIN,Financial Services,INE102B01014
CHOLAHLDNG,Financial Services,INE149A01033
CHOLAFIN,Financial Services,INE121A01024
CIPLA,Healthcare,INE059A01026
CUB,Financial Services,INE491A01021
CLEAN,Chemicals,INE227W01023
COALINDIA,Oil Gas & Consumable Fuels,INE522F01014
COCHINSHIP,Capital Goods,INE704P01025
COFORGE,Information Technology,INE591G01025
COHANCE,Healthcare,INE03QK01018
COLPAL,Fast Moving Consumer Goods,INE259A01022
CAMS,Financial Services,INE596I01012
CONCORDBIO,Healthcare,INE338H01029
CONCOR,Services,INE111A01025
COROMANDEL,Chemicals,INE169A01031
CRAFTSMAN,Automobile and Auto Components,INE00LO01017
CREDITACC,Financial Services,INE741K01010
CROMPTON,Consumer Durables,INE299U01018
CUMMINSIND,Capital Goods,INE298A01020
CYIENT,Information Technology,INE136B01020
DCMSHRIRAM,Diversified,INE499A01024
DLF,Realty,INE271C01023
DOMS,Fast Moving Consumer Goods,INE321T01012
DABUR,Fast Moving Consumer Goods,INE016A01026
DALBHARAT,Construction Materials,INE00R701025
DATAPATTNS,Capital Goods,INE0IX101010
DEEPAKFERT,Chemicals,INE501A01019
DEEPAKNTR,Chemicals,INE288B01029
DELHIVERY,Services,INE148O01028
DEVYANI,Consumer Services,INE872J01023
DIVISLAB,Healthcare,INE361B01024
DIXON,Consumer Durables,INE935N01020
AGARWALEYE,Healthcare,INE943P01029
LALPATHLAB,Healthcare,INE600L01024
DRREDDY,Healthcare,INE089A01031
EIDPARRY,Fast Moving Consumer Goods,INE126A01031
EIHOTEL,Consumer Services,INE230A01023
EICHERMOT,Automobile and Auto Components,INE066A01021
ELECON,Capital Goods,INE205B01031
ELGIEQUIP,Capital Goods,INE285A01027
EMAMILTD,Fast Moving Consumer Goods,INE548C01032
EMCURE,Healthcare,INE168P01015
ENDURANCE,Automobile and Auto Components,INE913H01037
ENGINERSIN,Construction,INE510A01028
ERIS,Healthcare,INE406M01024
ESCORTS,Capital Goods,INE042A01014
ETERNAL,Consumer Services,INE758T01015
EXIDEIND,Automobile and Auto Components,INE302A01020
NYKAA,Consumer Services,INE388Y01029
FEDERALBNK,Financial Services,INE171A01029
FACT,Chemicals,INE188A01015
FINCABLES,Capital Goods,INE235A01022
FINPIPE,Capital Goods,INE183A01024
FSL,Services,INE684F01012
FIVESTAR,Financial Services,INE128S01021
FORCEMOT,Automobile and Auto Components,INE451A01017
FORTIS,Healthcare,INE061F01013
GAIL,Oil Gas & Consumable Fuels,INE129A01019
GVT&D,Capital Goods,INE200A01026
GMRAIRPORT,Services,INE776C01039
GRSE,Capital Goods,INE382Z01011
GICRE,Financial Services,INE481Y01014
GILLETTE,Fast Moving Consumer Goods,INE322A01010
GLAND,Healthcare,INE068V01023
GLAXO,Healthcare,INE159A01016
GLENMARK,Healthcare,INE935A01035
MEDANTA,Healthcare,INE474Q01031
GODIGIT,Financial Services,INE03JT01014
GPIL,Capital Goods,INE177H01039
GODFRYPHLP,Fast Moving Consumer Goods,INE260B01028
GODREJAGRO,Fast Moving Consumer Goods,INE850D01014
GODREJCP,Fast Moving Consumer Goods,INE102D01028
GODREJIND,Diversified,INE233A01035
GODREJPROP,Realty,INE484J01027
GRANULES,Healthcare,INE101D01020
GRAPHITE,Capital Goods,INE371A01025
GRASIM,Construction Materials,INE047A01021
GRAVITA,Metals & Mining,INE024L01027
GESHIP,Services,INE017A01032
FLUOROCHEM,Chemicals,INE09N301011
GUJGASLTD,Oil Gas & Consumable Fuels,INE844O01030
GMDCLTD,Metals & Mining,INE131A01031
GSPL,Oil Gas & Consumable Fuels,INE246F01010
HEG,Capital Goods,INE545A01024
HBLENGINE,Capital Goods,INE292B01021
HCLTECH,Information Technology,INE860A01027
HDFCAMC,Financial Services,INE127D01025
HDFCBANK,Financial Services,INE040A01034
HDFCLIFE,Financial Services,INE795G01014
HFCL,Telecommunication,INE548A01028
HAPPSTMNDS,Information Technology,INE419U01012
HAVELLS,Consumer Durables,INE176B01034
HEROMOTOCO,Automobile and Auto Components,INE158A01026
HEXT,Information Technology,INE093A01041
HSCL,Chemicals,INE019C01026
HINDALCO,Metals & Mining,INE038A01020
HAL,Capital Goods,INE066F01020
HINDCOPPER,Metals & Mining,INE531E01026
HINDPETRO,Oil Gas & Consumable Fuels,INE094A01015
HINDUNILVR,Fast Moving Consumer Goods,INE030A01027
HINDZINC,Metals & Mining,INE267A01025
POWERINDIA,Capital Goods,INE07Y701011
HOMEFIRST,Financial Services,INE481N01025
HONASA,Fast Moving Consumer Goods,INE0J5401028
HONAUT,Capital Goods,INE671A01010
HUDCO,Financial Services,INE031A01017
HYUNDAI,Automobile and Auto Components,INE0V6F01027
ICICIBANK,Financial Services,INE090A01021
ICICIGI,Financial Services,INE765G01017
ICICIPRULI,Financial Services,INE726G01019
IDBI,Financial Services,INE008A01015
IDFCFIRSTB,Financial Services,INE092T01019
IFCI,Financial Services,INE039A01010
IIFL,Financial Services,INE530B01024
INOXINDIA,Capital Goods,INE616N01034
IRB,Construction,INE821I01022
IRCON,Construction,INE962Y01021
ITCHOTELS,Consumer Services,INE379A01028
ITC,Fast Moving Consumer Goods,INE154A01025
ITI,Telecommunication,INE248A01017
INDGN,Healthcare,INE065X01017
INDIACEM,Construction Materials,INE383A01012
INDIAMART,Consumer Services,INE933S01016
INDIANB,Financial Services,INE562A01011
IEX,Financial Services,INE022Q01020
INDHOTEL,Consumer Services,INE053A01029
IOC,Oil Gas & Consumable Fuels,INE242A01010
IOB,Financial Services,INE565A01014
IRCTC,Consumer Services,INE335Y01020
IRFC,Financial Services,INE053F01010
IREDA,Financial Services,INE202E01016
IGL,Oil Gas & Consumable Fuels,INE203G01027
INDUSTOWER,Telecommunication,INE121J01017
INDUSINDBK,Financial Services,INE095A01012
NAUKRI,Consumer Services,INE663F01032
INFY,Information Technology,INE009A01021
INOXWIND,Capital Goods,INE066P01011
INTELLECT,Information Technology,INE306R01017
INDIGO,Services,INE646L01027
IGIL,Services,INE0Q9301021
IKS,Information Technology,INE115Q01022
IPCALAB,Healthcare,INE571A01038
JBCHEPHARM,Healthcare,INE572A01036
JKCEMENT,Construction Materials,INE823G01014
JBMA,Automobile and Auto Components,INE927D01051
JKTYRE,Automobile and Auto Components,INE573A01042
JMFINANCIL,Financial Services,INE780C01023
JSWENERGY,Power,INE121E01018
JSWINFRA,Services,INE880J01026
JSWSTEEL,Metals & Mining,INE019A01038
JPPOWER,Power,INE351F01018
J&KBANK,Financial Services,INE168A01041
JINDALSAW,Capital Goods,INE324A01032
JSL,Metals & Mining,INE220G01021
JINDALSTEL,Metals & Mining,INE749A01030
JIOFIN,Financial Services,INE758E01017
JUBLFOOD,Consumer Services,INE797F01020
JUBLINGREA,Chemicals,INE0BY001018
JUBLPHARMA,Healthcare,INE700A01033
JWL,Capital Goods,INE209L01016
JYOTHYLAB,Fast Moving Consumer Goods,INE668F01031
JYOTICNC,Capital Goods,INE980O01024
KPRMILL,Textiles,INE930H01031
KEI,Capital Goods,INE878B01027
KPITTECH,Information Technology,INE04I401011
KSB,Capital Goods,INE999A01023
KAJARIACER,Consumer Durables,INE217B01036
KPIL,Construction,INE220B01022
KALYANKJIL,Consumer Durables,INE303R01014
KARURVYSYA,Financial Services,INE036D01028
KAYNES,Capital Goods,INE918Z01012
KEC,Construction,INE389H01022
KFINTECH,Financial Services,INE138Y01010
KIRLOSBROS,Capital Goods,INE732A01036
KIRLOSENG,Capital Goods,INE146L01010
KOTAKBANK,Financial Services,INE237A01028
KIMS,Healthcare,INE967H01025
LTF,Financial Services,INE498L01015
LTTS,Information Technology,INE010V01017
LICHSGFIN,Financial Services,INE115A01026
LTFOODS,Fast Moving Consumer Goods,INE818H01020
LTIM,Information Technology,INE214T01019
LT,Construction,INE018A01030
LATENTVIEW,Information Technology,INE0I7C01011
LAURUSLABS,Healthcare,INE947Q01028
THELEELA,Consumer Services,INE0AQ201015
LEMONTREE,Consumer Services,INE970X01018
LICI,Financial Services,INE0J1Y01017
LINDEINDIA,Chemicals,INE473A01011
LLOYDSME,Metals & Mining,INE281B01032
LODHA,Realty,INE670K01029
LUPIN,Healthcare,INE326A01037
MMTC,Services,INE123F01029
MRF,Automobile and Auto Components,INE883A01011
MGL,Oil Gas & Consumable Fuels,INE002S01010
MAHSCOOTER,Financial Services,INE288A01013
MAHSEAMLES,Capital Goods,INE271B01025
M&MFIN,Financial Services,INE774D01024
M&M,Automobile and Auto Components,INE101A01026
MANAPPURAM,Financial Services,INE522D01027
MRPL,Oil Gas & Consumable Fuels,INE103A01014
MANKIND,Healthcare,INE634S01028
MARICO,Fast Moving Consumer Goods,INE196A01026
MARUTI,Automobile and Auto Components,INE585B01010
MFSL,Financial Services,INE180A01020
MAXHEALTH,Healthcare,INE027H01010
MAZDOCK,Capital Goods,INE249Z01020
METROPOLIS,Healthcare,INE112L01020
MINDACORP,Automobile and Auto Components,INE842C01021
MSUMI,Automobile and Auto Components,INE0FS801015
MOTILALOFS,Financial Services,INE338I01027
MPHASIS,Information Technology,INE356A01018
MCX,Financial Services,INE745G01035
MUTHOOTFIN,Financial Services,INE414G01012
NATCOPHARM,Healthcare,INE987B01026
NBCC,Construction,INE095N01031
NCC,Construction,INE868B01028
NHPC,Power,INE848E01016
NLCINDIA,Power,INE589A01014
NMDC,Metals & Mining,INE584A01023
NSLNISP,Metals & Mining,INE0NNS01018
NTPCGREEN,Power,INE0ONG01011
NTPC,Power,INE733E01010
NH,Healthcare,INE410P01011
NATIONALUM,Metals & Mining,INE139A01034
NAVA,Power,INE725A01030
NAVINFLUOR,Chemicals,INE048G01026
NESTLEIND,Fast Moving Consumer Goods,INE239A01024
NETWEB,Information Technology,INE0NT901020
NEULANDLAB,Healthcare,INE794A01010
NEWGEN,Information Technology,INE619B01017
NAM-INDIA,Financial Services,INE298J01013
NIVABUPA,Financial Services,INE995S01015
NUVAMA,Financial Services,INE531F01015
NUVOCO,Construction Materials,INE118D01016
OBEROIRLTY,Realty,INE093I01010
ONGC,Oil Gas & Consumable Fuels,INE213A01029
OIL,Oil Gas & Consumable Fuels,INE274J01014
OLECTRA,Automobile and Auto Components,INE260D01016
PAYTM,Financial Services,INE982J01020
ONESOURCE,Healthcare,INE013P01021
OFSS,Information Technology,INE881D01027
POLICYBZR,Financial Services,INE417T01026
PCBL,Chemicals,INE602A01031
PGEL,Consumer Durables,INE457L01029
PIIND,Chemicals,INE603J01030
PNBHOUSING,Financial Services,INE572E01012
PTCIL,Capital Goods,INE596F01018
PVRINOX,Media Entertainment & Publication,INE191H01014
PAGEIND,Textiles,INE761H01022
PATANJALI,Fast Moving Consumer Goods,INE619A01035
PERSISTENT,Information Technology,INE262H01021
PETRONET,Oil Gas & Consumable Fuels,INE347G01014
PFIZER,Healthcare,INE182A01018
PHOENIXLTD,Realty,INE211B01039
PIDILITIND,Chemicals,INE318A01026
PPLPHARMA,Healthcare,INE0DK501011
POLYMED,Healthcare,INE205C01021
POLYCAB,Capital Goods,INE455K01017
POONAWALLA,Financial Services,INE511C01022
PFC,Financial Services,INE134E01011
POWERGRID,Power,INE752E01010
PRAJIND,Capital Goods,INE074A01025
PREMIERENE,Capital Goods,INE0BS701011
PRESTIGE,Realty,INE811K01011
PGHH,Fast Moving Consumer Goods,INE179A01014
PNB,Financial Services,INE160A01022
RRKABEL,Capital Goods,INE777K01022
RBLBANK,Financial Services,INE976G01028
RECLTD,Financial Services,INE020B01018
RHIM,Capital Goods,INE743M01012
RITES,Construction,INE320J01015
RADICO,Fast Moving Consumer Goods,INE944F01028
RVNL,Construction,INE415G01027
RAILTEL,Telecommunication,INE0DD101019
RAINBOW,Healthcare,INE961O01016
RKFORGE,Automobile and Auto Components,INE399G01023
RCF,Chemicals,INE027A01015
REDINGTON,Services,INE891D01026
RELIANCE,Oil Gas & Consumable Fuels,INE002A01018
RPOWER,Power,INE614G01033
SBFC,Financial Services,INE423Y01016
SBICARD,Financial Services,INE018E01016
SBILIFE,Financial Services,INE123W01016
SJVN,Power,INE002L01015
SKFINDIA,Automobile and Auto Components,INE640A01023
SRF,Chemicals,INE647A01010
SAGILITY,Information Technology,INE0W2G01015
SAILIFE,Healthcare,INE570L01029
SAMMAANCAP,Financial Services,INE148I01020
MOTHERSON,Automobile and Auto Components,INE775A01035
SAPPHIRE,Consumer Services,INE806T01020
SARDAEN,Metals & Mining,INE385C01021
SAREGAMA,Media Entertainment & Publication,INE979A01025
SCHAEFFLER,Automobile and Auto Components,INE513A01022
SCHNEIDER,Capital Goods,INE839M01018
SCI,Services,INE109A01011
SHREECEM,Construction Materials,INE070A01015
SHRIRAMFIN,Financial Services,INE721A01047
SHYAMMETL,Capital Goods,INE810G01011
ENRIN,Capital Goods,INE1NPP01017
SIEMENS,Capital Goods,INE003A01024
SIGNATURE,Realty,INE903U01023
SOBHA,Realty,INE671H01015
SOLARINDS,Chemicals,INE343H01029
SONACOMS,Automobile and Auto Components,INE073K01018
SONATSOFTW,Information Technology,INE269A01021
STARHEALTH,Financial Services,INE575P01011
SBIN,Financial Services,INE062A01020
SAIL,Metals & Mining,INE114A01011
SUMICHEM,Chemicals,INE258G01013
SUNPHARMA,Healthcare,INE044A01036
SUNTV,Media Entertainment & Publication,INE424H01027
SUNDARMFIN,Financial Services,INE660A01013
SUNDRMFAST,Automobile and Auto Components,INE387A01021
SUPREMEIND,Capital Goods,INE195A01028
SUZLON,Capital Goods,INE040H01021
SWANCORP,Chemicals,INE665A01038
SWIGGY,Consumer Services,INE00H001014
SYNGENE,Healthcare,INE398R01022
SYRMA,Capital Goods,INE0DYJ01015
TBOTEK,Consumer Services,INE673O01025
TVSMOTOR,Automobile and Auto Components,INE494B01023
TATACHEM,Chemicals,INE092A01019
TATACOMM,Telecommunication,INE151A01013
TCS,Information Technology,INE467B01029
TATACONSUM,Fast Moving Consumer Goods,INE192A01025
TATAELXSI,Information Technology,INE670A01012
TATAINVEST,Financial Services,INE672A01026
TMPV,Automobile and Auto Components,INE155A01022
TATAPOWER,Power,INE245A01021
TATASTEEL,Metals & Mining,INE081A01020
TATATECH,Information Technology,INE142M01025
TTML,Telecommunication,INE517B01013
TECHM,Information Technology,INE669C01036
TECHNOE,Construction,INE285K01026
TEJASNET,Telecommunication,INE010J01012
NIACL,Financial Services,INE470Y01017
RAMCOCEM,Construction Materials,INE331A01037
THERMAX,Capital Goods,INE152A01029
TIMKEN,Capital Goods,INE325A01013
TITAGARH,Capital Goods,INE615H01020
TITAN,Consumer Durables,INE280A01028
TORNTPHARM,Healthcare,INE685A01028
TORNTPOWER,Power,INE813H01021
TARIL,Capital Goods,INE763I01026
TRENT,Consumer Services,INE849A01020
TRIDENT,Textiles,INE064C01022
TRIVENI,Fast Moving Consumer Goods,INE256C01024
TRITURBINE,Capital Goods,INE152M01016
TIINDIA,Automobile and Auto Components,INE974X01010
UCOBANK,Financial Services,INE691A01018
UNOMINDA,Automobile and Auto Components,INE405E01023
UPL,Chemicals,INE628A01036
UTIAMC,Financial Services,INE094J01016
ULTRACEMCO,Construction Materials,INE481G01011
UNIONBANK,Financial Services,INE692A01016
UBL,Fast Moving Consumer Goods,INE686F01025
UNITDSPR,Fast Moving Consumer Goods,INE854D01024
USHAMART,Capital Goods,INE228A01035
VGUARD,Consumer Durables,INE951I01027
DBREALTY,Consumer Services,INE879I01012
VTL,Textiles,INE825A01020
VBL,Fast Moving Consumer Goods,INE200M01039
MANYAVAR,Consumer Services,INE825V01034
VEDL,Metals & Mining,INE205A01025
VENTIVE,Consumer Services,INE781S01027
VIJAYA,Healthcare,INE043W01024
VMM,Consumer Services,INE01EA01019
IDEA,Telecommunication,INE669E01016
VOLTAS,Consumer Durables,INE226A01021
WAAREEENER,Capital Goods,INE377N01017
WELCORP,Capital Goods,INE191B01025
WELSPUNLIV,Textiles,INE192B01031
WHIRLPOOL,Consumer Durables,INE716A01013
WIPRO,Information Technology,INE075A01022
WOCKPHARMA,Healthcare,INE049B01025
YESBANK,Financial Services,INE528G01035
ZFCVINDIA,Automobile and Auto Components,INE342J01019
ZEEL,Media Entertainment & Publication,INE256A01028
ZENTEC,Capital Goods,INE251B01027
ZENSARTECH,Information Technology,INE520A01027
ZYDUSLIFE,Healthcare,INE010B01027
ECLERX,Services,INE738I01010
