Symbol,Industry,ISIN Code,Indices
NAUKRI,Consumer Services,INE663F01032,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
INFY,Information Technology,INE009A01021,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY IT"
INOXWIND,Capital Goods,INE066P01011,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
INTELLECT,Information Technology,INE306R01017,"NIFTY 500, NIFTY SMALLCAP 250"
INDIGO,Services,INE646L01027,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
IGIL,Services,INE0Q9301021,"NIFTY 500, NIFTY SMALLCAP 250"
IKS,Information Technology,INE115Q01022,"NIFTY 500, NIFTY SMALLCAP 250"
IPCALAB,Healthcare,INE571A01038,"NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
JBCHEPHARM,Healthcare,INE572A01036,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY PHARMA"
JKCEMENT,Construction Materials,INE823G01014,"NIFTY 500, NIFTY MIDCAP 150"
JBMA,Automobile and Auto Components,INE927D01051,"NIFTY 500, NIFTY SMALLCAP 250"
JKTYRE,Automobile and Auto Components,INE573A01042,"NIFTY 500, NIFTY SMALLCAP 250"
JMFINANCIL,Financial Services,INE780C01023,"NIFTY 500, NIFTY SMALLCAP 250"
JSWENERGY,Power,INE121E01018,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
JSWINFRA,Services,INE880J01026,"NIFTY 500, NIFTY MIDCAP 150"
JSWSTEEL,Metals & Mining,INE019A01038,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY METAL"
JPPOWER,Power,INE351F01018,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
J&KBANK,Financial Services,INE168A01041,"NIFTY 500, NIFTY SMALLCAP 250"
JINDALSAW,Capital Goods,INE324A01032,"NIFTY 500, NIFTY SMALLCAP 250"
JSL,Metals & Mining,INE220G01021,"NIFTY 500, NIFTY MIDCAP 150, NIFTY METAL"
JINDALSTEL,Metals & Mining,INE749A01030,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY METAL"
JIOFIN,Financial Services,INE758E01017,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
JUBLFOOD,Consumer Services,INE797F01020,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
JUBLINGREA,Chemicals,INE0BY001018,"NIFTY 500, NIFTY SMALLCAP 250"
JUBLPHARMA,Healthcare,INE700A01033,"NIFTY 500, NIFTY SMALLCAP 250"
JWL,Capital Goods,INE209L01016,"NIFTY 500, NIFTY SMALLCAP 250"
JYOTHYLAB,Fast Moving Consumer Goods,INE668F01031,"NIFTY 500, NIFTY SMALLCAP 250"
JYOTICNC,Capital Goods,INE980O01024,"NIFTY 500, NIFTY SMALLCAP 250"
KPRMILL,Textiles,INE930H01031,"NIFTY 500, NIFTY MIDCAP 150"
KEI,Capital Goods,INE878B01027,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
KPITTECH,Information Technology,INE04I401011,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
KSB,Capital Goods,INE999A01023,"NIFTY 500, NIFTY SMALLCAP 250"
KAJARIACER,Consumer Durables,INE217B01036,"NIFTY 500, NIFTY SMALLCAP 250"
KPIL,Construction,INE220B01022,"NIFTY 500, NIFTY SMALLCAP 250"
KALYANKJIL,Consumer Durables,INE303R01014,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
KARURVYSYA,Financial Services,INE036D01028,"NIFTY 500, NIFTY SMALLCAP 250"
KAYNES,Capital Goods,INE918Z01012,"NIFTY 500, NIFTY SMALLCAP 250"
KEC,Construction,INE389H01022,"NIFTY 500, NIFTY SMALLCAP 250"
KFINTECH,Financial Services,INE138Y01010,"NIFTY 500, NIFTY SMALLCAP 250"
KIRLOSBROS,Capital Goods,INE732A01036,"NIFTY 500, NIFTY SMALLCAP 250"
KIRLOSENG,Capital Goods,INE146L01010,"NIFTY 500, NIFTY SMALLCAP 250"
KOTAKBANK,Financial Services,INE237A01028,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY BANK"
KIMS,Healthcare,INE967H01025,"NIFTY 500, NIFTY SMALLCAP 250"
LTF,Financial Services,INE498L01015,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
LTTS,Information Technology,INE010V01017,"NIFTY 500, NIFTY MIDCAP 150"
LICHSGFIN,Financial Services,INE115A01026,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
LTFOODS,Fast Moving Consumer Goods,INE818H01020,"NIFTY 500, NIFTY SMALLCAP 250"
LTIM,Information Technology,INE214T01019,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY IT"
LT,Construction,INE018A01030,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
LATENTVIEW,Information Technology,INE0I7C01011,"NIFTY 500, NIFTY SMALLCAP 250"
LAURUSLABS,Healthcare,INE947Q01028,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY PHARMA"
THELEELA,Consumer Services,INE0AQ201015,"NIFTY 500, NIFTY SMALLCAP 250"
LEMONTREE,Consumer Services,INE970X01018,"NIFTY 500, NIFTY SMALLCAP 250"
LICI,Financial Services,INE0J1Y01017,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
LINDEINDIA,Chemicals,INE473A01011,"NIFTY 500, NIFTY MIDCAP 150"
LLOYDSME,Metals & Mining,INE281B01032,"NIFTY 500, NIFTY MIDCAP 150, NIFTY METAL"
LODHA,Realty,INE670K01029,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY REALTY"
LUPIN,Healthcare,INE326A01037,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
MMTC,Services,INE123F01029,"NIFTY 500, NIFTY SMALLCAP 250"
MRF,Automobile and Auto Components,INE883A01011,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
MGL,Oil Gas & Consumable Fuels,INE002S01010,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
MAHSCOOTER,Financial Services,INE288A01013,"NIFTY 500, NIFTY SMALLCAP 250"
MAHSEAMLES,Capital Goods,INE271B01025,"NIFTY 500, NIFTY SMALLCAP 250"
M&MFIN,Financial Services,INE774D01024,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
M&M,Automobile and Auto Components,INE101A01026,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY AUTO"
MANAPPURAM,Financial Services,INE522D01027,"NIFTY 500, NIFTY SMALLCAP 250"
MRPL,Oil Gas & Consumable Fuels,INE103A01014,"NIFTY 500, NIFTY SMALLCAP 250"
MANKIND,Healthcare,INE634S01028,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
MARICO,Fast Moving Consumer Goods,INE196A01026,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY FMCG"
MARUTI,Automobile and Auto Components,INE585B01010,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY AUTO"
MFSL,Financial Services,INE180A01020,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
MAXHEALTH,Healthcare,INE027H01010,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
MAZDOCK,Capital Goods,INE249Z01020,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
METROPOLIS,Healthcare,INE112L01020,"NIFTY 500, NIFTY SMALLCAP 250"
MINDACORP,Automobile and Auto Components,INE842C01021,"NIFTY 500, NIFTY SMALLCAP 250"
MSUMI,Automobile and Auto Components,INE0FS801015,"NIFTY 500, NIFTY SMALLCAP 250"
MOTILALOFS,Financial Services,INE338I01027,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
MPHASIS,Information Technology,INE356A01018,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY IT"
MCX,Financial Services,INE745G01035,"NIFTY 500, NIFTY SMALLCAP 250"
MUTHOOTFIN,Financial Services,INE414G01012,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
NATCOPHARM,Healthcare,INE987B01026,"NIFTY 500, NIFTY SMALLCAP 250"
NBCC,Construction,INE095N01031,"NIFTY 500, NIFTY SMALLCAP 250"
NCC,Construction,INE868B01028,"NIFTY 500, NIFTY SMALLCAP 250"
NHPC,Power,INE848E01016,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
NLCINDIA,Power,INE589A01014,"NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
NMDC,Metals & Mining,INE584A01023,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY METAL"
NSLNISP,Metals & Mining,INE0NNS01018,"NIFTY 500, NIFTY SMALLCAP 250"
NTPCGREEN,Power,INE0ONG01011,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
NTPC,Power,INE733E01010,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
NH,Healthcare,INE410P01011,"NIFTY 500, NIFTY SMALLCAP 250"
NATIONALUM,Metals & Mining,INE139A01034,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY METAL"
NAVA,Power,INE725A01030,"NIFTY 500, NIFTY SMALLCAP 250"
NAVINFLUOR,Chemicals,INE048G01026,"NIFTY 500, NIFTY SMALLCAP 250"
NESTLEIND,Fast Moving Consumer Goods,INE239A01024,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY FMCG"
NETWEB,Information Technology,INE0NT901020,"NIFTY 500, NIFTY SMALLCAP 250"
NEULANDLAB,Healthcare,INE794A01010,"NIFTY 500, NIFTY SMALLCAP 250"
NEWGEN,Information Technology,INE619B01017,"NIFTY 500, NIFTY SMALLCAP 250"
NAM-INDIA,Financial Services,INE298J01013,"NIFTY 500, NIFTY MIDCAP 150"
NIVABUPA,Financial Services,INE995S01015,"NIFTY 500, NIFTY SMALLCAP 250"
NUVAMA,Financial Services,INE531F01015,"NIFTY 500, NIFTY SMALLCAP 250"
NUVOCO,Construction Materials,INE118D01016,"NIFTY 500, NIFTY SMALLCAP 250"
OBEROIRLTY,Realty,INE093I01010,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY REALTY"
ONGC,Oil Gas & Consumable Fuels,INE213A01029,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
OIL,Oil Gas & Consumable Fuels,INE274J01014,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
OLECTRA,Automobile and Auto Components,INE260D01016,"NIFTY 500, NIFTY SMALLCAP 250"
PAYTM,Financial Services,INE982J01020,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
ONESOURCE,Healthcare,INE013P01021,"NIFTY 500, NIFTY SMALLCAP 250"
OFSS,Information Technology,INE881D01027,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY IT"
POLICYBZR,Financial Services,INE417T01026,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
PCBL,Chemicals,INE602A01031,"NIFTY 500, NIFTY SMALLCAP 250"
PGEL,Consumer Durables,INE457L01029,"NIFTY 500, NIFTY SMALLCAP 250"
PIIND,Chemicals,INE603J01030,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
PNBHOUSING,Financial Services,INE572E01012,"NIFTY 500, NIFTY SMALLCAP 250"
PTCIL,Capital Goods,INE596F01018,"NIFTY 500, NIFTY SMALLCAP 250"
PVRINOX,Media Entertainment & Publication,INE191H01014,"NIFTY 500, NIFTY SMALLCAP 250"
PAGEIND,Textiles,INE761H01022,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
PATANJALI,Fast Moving Consumer Goods,INE619A01035,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY FMCG"
PERSISTENT,Information Technology,INE262H01021,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY IT"
PETRONET,Oil Gas & Consumable Fuels,INE347G01014,"NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
PFIZER,Healthcare,INE182A01018,"NIFTY 500, NIFTY SMALLCAP 250"
PHOENIXLTD,Realty,INE211B01039,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY REALTY"
PIDILITIND,Chemicals,INE318A01026,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
PPLPHARMA,Healthcare,INE0DK501011,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY PHARMA"
POLYMED,Healthcare,INE205C01021,"NIFTY 500, NIFTY SMALLCAP 250"
POLYCAB,Capital Goods,INE455K01017,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
POONAWALLA,Financial Services,INE511C01022,"NIFTY 500, NIFTY SMALLCAP 250"
PFC,Financial Services,INE134E01011,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
POWERGRID,Power,INE752E01010,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
PRAJIND,Capital Goods,INE074A01025,"NIFTY 500, NIFTY SMALLCAP 250"
PREMIERENE,Capital Goods,INE0BS701011,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
PRESTIGE,Realty,INE811K01011,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY REALTY"
PGHH,Fast Moving Consumer Goods,INE179A01014,"NIFTY 500, NIFTY MIDCAP 150"
PNB,Financial Services,INE160A01022,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY BANK, NIFTY PSU BANK"
RRKABEL,Capital Goods,INE777K01022,"NIFTY 500, NIFTY SMALLCAP 250"
RBLBANK,Financial Services,INE976G01028,"NIFTY 500, NIFTY SMALLCAP 250"
RECLTD,Financial Services,INE020B01018,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
RHIM,Capital Goods,INE743M01012,"NIFTY 500, NIFTY SMALLCAP 250"
RITES,Construction,INE320J01015,"NIFTY 500, NIFTY SMALLCAP 250"
RADICO,Fast Moving Consumer Goods,INE944F01028,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY FMCG"
RVNL,Construction,INE415G01027,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
RAILTEL,Telecommunication,INE0DD101019,"NIFTY 500, NIFTY SMALLCAP 250"
RAINBOW,Healthcare,INE961O01016,"NIFTY 500, NIFTY SMALLCAP 250"
RKFORGE,Automobile and Auto Components,INE399G01023,"NIFTY 500, NIFTY SMALLCAP 250"
RCF,Chemicals,INE027A01015,"NIFTY 500, NIFTY SMALLCAP 250"
REDINGTON,Services,INE891D01026,"NIFTY 500, NIFTY SMALLCAP 250"
RELIANCE,Oil Gas & Consumable Fuels,INE002A01018,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
RPOWER,Power,INE614G01033,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
SBFC,Financial Services,INE423Y01016,"NIFTY 500, NIFTY SMALLCAP 250"
SBICARD,Financial Services,INE018E01016,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
SBILIFE,Financial Services,INE123W01016,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
SJVN,Power,INE002L01015,"NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
SKFINDIA,Automobile and Auto Components,INE640A01023,"NIFTY 500, NIFTY SMALLCAP 250"
SRF,Chemicals,INE647A01010,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
SAGILITY,Information Technology,INE0W2G01015,"NIFTY 500, NIFTY SMALLCAP 250"
SAILIFE,Healthcare,INE570L01029,"NIFTY 500, NIFTY SMALLCAP 250"
SAMMAANCAP,Financial Services,INE148I01020,"NIFTY 500, NIFTY SMALLCAP 250"
MOTHERSON,Automobile and Auto Components,INE775A01035,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY AUTO"
SAPPHIRE,Consumer Services,INE806T01020,"NIFTY 500, NIFTY SMALLCAP 250"
SARDAEN,Metals & Mining,INE385C01021,"NIFTY 500, NIFTY SMALLCAP 250"
SAREGAMA,Media Entertainment & Publication,INE979A01025,"NIFTY 500, NIFTY SMALLCAP 250"
SCHAEFFLER,Automobile and Auto Components,INE513A01022,"NIFTY 500, NIFTY MIDCAP 150"
SCHNEIDER,Capital Goods,INE839M01018,"NIFTY 500, NIFTY SMALLCAP 250"
SCI,Services,INE109A01011,"NIFTY 500, NIFTY SMALLCAP 250"
SHREECEM,Construction Materials,INE070A01015,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
SHRIRAMFIN,Financial Services,INE721A01047,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
SHYAMMETL,Capital Goods,INE810G01011,"NIFTY 500, NIFTY SMALLCAP 250"
ENRIN,Capital Goods,INE1NPP01017,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
SIEMENS,Capital Goods,INE003A01024,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
SIGNATURE,Realty,INE903U01023,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY REALTY"
SOBHA,Realty,INE671H01015,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY REALTY"
SOLARINDS,Chemicals,INE343H01029,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
SONACOMS,Automobile and Auto Components,INE073K01018,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY AUTO"
SONATSOFTW,Information Technology,INE269A01021,"NIFTY 500, NIFTY SMALLCAP 250"
STARHEALTH,Financial Services,INE575P01011,"NIFTY 500, NIFTY SMALLCAP 250"
SBIN,Financial Services,INE062A01020,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY BANK, NIFTY PSU BANK"
SAIL,Metals & Mining,INE114A01011,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY METAL"
SUMICHEM,Chemicals,INE258G01013,"NIFTY 500, NIFTY SMALLCAP 250"
SUNPHARMA,Healthcare,INE044A01036,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY PHARMA"
SUNTV,Media Entertainment & Publication,INE424H01027,"NIFTY 500, NIFTY SMALLCAP 250"
SUNDARMFIN,Financial Services,INE660A01013,"NIFTY 500, NIFTY MIDCAP 150"
SUNDRMFAST,Automobile and Auto Components,INE387A01021,"NIFTY 500, NIFTY SMALLCAP 250"
SUPREMEIND,Capital Goods,INE195A01028,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
SUZLON,Capital Goods,INE040H01021,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
SWANCORP,Chemicals,INE665A01038,"NIFTY 500, NIFTY SMALLCAP 250"
SWIGGY,Consumer Services,INE00H001014,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
SYNGENE,Healthcare,INE398R01022,"NIFTY 500, NIFTY MIDCAP 150"
SYRMA,Capital Goods,INE0DYJ01015,"NIFTY 500, NIFTY SMALLCAP 250"
TBOTEK,Consumer Services,INE673O01025,"NIFTY 500, NIFTY SMALLCAP 250"
TVSMOTOR,Automobile and Auto Components,INE494B01023,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY AUTO"
TATACHEM,Chemicals,INE092A01019,"NIFTY 500, NIFTY SMALLCAP 250"
TATACOMM,Telecommunication,INE151A01013,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
TCS,Information Technology,INE467B01029,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY IT"
TATACONSUM,Fast Moving Consumer Goods,INE192A01025,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY FMCG"
TATAELXSI,Information Technology,INE670A01012,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
TATAINVEST,Financial Services,INE672A01026,"NIFTY 500, NIFTY MIDCAP 150"
TMPV,Automobile and Auto Components,INE155A01022,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY AUTO"
TATAPOWER,Power,INE245A01021,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
TATASTEEL,Metals & Mining,INE081A01020,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY METAL"
TATATECH,Information Technology,INE142M01025,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
TTML,Telecommunication,INE517B01013,"NIFTY 500, NIFTY SMALLCAP 250"
TECHM,Information Technology,INE669C01036,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY IT"
TECHNOE,Construction,INE285K01026,"NIFTY 500, NIFTY SMALLCAP 250"
TEJASNET,Telecommunication,INE010J01012,"NIFTY 500, NIFTY SMALLCAP 250"
NIACL,Financial Services,INE470Y01017,"NIFTY 500, NIFTY MIDCAP 150"
RAMCOCEM,Construction Materials,INE331A01037,"NIFTY 500, NIFTY SMALLCAP 250"
THERMAX,Capital Goods,INE152A01029,"NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
TIMKEN,Capital Goods,INE325A01013,"NIFTY 500, NIFTY SMALLCAP 250"
TITAGARH,Capital Goods,INE615H01020,"NIFTY 500, NIFTY SMALLCAP 250"
TITAN,Consumer Durables,INE280A01028,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
TORNTPHARM,Healthcare,INE685A01028,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY PHARMA"
TORNTPOWER,Power,INE813H01021,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
TARIL,Capital Goods,INE763I01026,"NIFTY 500, NIFTY SMALLCAP 250"
TRENT,Consumer Services,INE849A01020,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
TRIDENT,Textiles,INE064C01022,"NIFTY 500, NIFTY SMALLCAP 250"
TRIVENI,Fast Moving Consumer Goods,INE256C01024,"NIFTY 500, NIFTY SMALLCAP 250"
TRITURBINE,Capital Goods,INE152M01016,"NIFTY 500, NIFTY SMALLCAP 250"
TIINDIA,Automobile and Auto Components,INE974X01010,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY AUTO"
UCOBANK,Financial Services,INE691A01018,"NIFTY 500, NIFTY MIDCAP 150, NIFTY PSU BANK"
UNOMINDA,Automobile and Auto Components,INE405E01023,"NIFTY 500, NIFTY MIDCAP 150, NIFTY AUTO"
UPL,Chemicals,INE628A01036,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
UTIAMC,Financial Services,INE094J01016,"NIFTY 500, NIFTY SMALLCAP 250"
ULTRACEMCO,Construction Materials,INE481G01011,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
UNIONBANK,Financial Services,INE692A01016,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PSU BANK"
UBL,Fast Moving Consumer Goods,INE686F01025,"NIFTY 500, NIFTY MIDCAP 150, NIFTY FMCG"
UNITDSPR,Fast Moving Consumer Goods,INE854D01024,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY FMCG"
USHAMART,Capital Goods,INE228A01035,"NIFTY 500, NIFTY SMALLCAP 250"
VGUARD,Consumer Durables,INE951I01027,"NIFTY 500, NIFTY SMALLCAP 250"
DBREALTY,Consumer Services,INE879I01012,"NIFTY 500, NIFTY SMALLCAP 250"
VTL,Textiles,INE825A01020,"NIFTY 500, NIFTY SMALLCAP 250"
VBL,Fast Moving Consumer Goods,INE200M01039,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY FMCG"
MANYAVAR,Consumer Services,INE825V01034,"NIFTY 500, NIFTY SMALLCAP 250"
VEDL,Metals & Mining,INE205A01025,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY METAL"
VENTIVE,Consumer Services,INE781S01027,"NIFTY 500, NIFTY SMALLCAP 250"
VIJAYA,Healthcare,INE043W01024,"NIFTY 500, NIFTY SMALLCAP 250"
VMM,Consumer Services,INE01EA01019,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
IDEA,Telecommunication,INE669E01016,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
VOLTAS,Consumer Durables,INE226A01021,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
WAAREEENER,Capital Goods,INE377N01017,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
WELCORP,Capital Goods,INE191B01025,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY METAL"
WELSPUNLIV,Textiles,INE192B01031,"NIFTY 500, NIFTY SMALLCAP 250"
WHIRLPOOL,Consumer Durables,INE716A01013,"NIFTY 500, NIFTY SMALLCAP 250"
WIPRO,Information Technology,INE075A01022,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY IT"
WOCKPHARMA,Healthcare,INE049B01025,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY PHARMA"
YESBANK,Financial Services,INE528G01035,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
ZFCVINDIA,Automobile and Auto Components,INE342J01019,"NIFTY 500, NIFTY SMALLCAP 250"
ZEEL,Media Entertainment & Publication,INE256A01028,"NIFTY 500, NIFTY SMALLCAP 250"
ZENTEC,Capital Goods,INE251B01027,"NIFTY 500, NIFTY SMALLCAP 250"
ZENSARTECH,Information Technology,INE520A01027,"NIFTY 500, NIFTY SMALLCAP 250"
ZYDUSLIFE,Healthcare,INE010B01027,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY PHARMA"
ECLERX,Services,INE738I01010,"NIFTY 500, NIFTY SMALLCAP 250"
